Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
espresso,Starbucks® Blonde Caffè Latte,8,100,25,3,0,0,0,65,12,1,9,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,12,80,45,5,0,0,0,130,7,1,4,2,85,Tall,Almond,
espresso,Starbucks® Blonde Caffè Latte,12,110,60,7,6,0,0,120,11,0,9,1,85,Tall,Coconut,
espresso,Starbucks® Blonde Caffè Latte,12,100,0,0,0,0,5,120,15,0,14,10,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,12,180,90,9,5,0,30,125,15,0,14,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,12,150,50,6,3.5,0,25,135,15,0,14,10,85,Tall,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,12,150,40,4.5,0.5,0,0,105,18,1,14,8,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,16,100,60,6,0.5,0,0,160,9,2,5,3,170,Grande,Almond,
espresso,Starbucks® Blonde Caffè Latte,16,140,70,8,8,0,0,150,14,0,12,1,170,Grande,Coconut,
espresso,Starbucks® Blonde Caffè Latte,16,130,5,0,0,0,5,150,20,0,18,13,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,16,230,110,12,7,0,35,160,19,0,18,12,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,16,190,70,7,4.5,0,30,170,19,0,18,13,170,Grande,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,16,190,50,6,0.5,0,0,135,24,1,18,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Caffè Latte,20,130,70,8,0.5,0,0,210,11,2,7,4,170,Venti,Almond,
espresso,Starbucks® Blonde Caffè Latte,20,170,100,11,10,0,0,190,18,0,15,2,170,Venti,Coconut,
espresso,Starbucks® Blonde Caffè Latte,20,170,5,0,0,0,10,200,25,0,24,17,170,Venti,Nonfat milk,
espresso,Starbucks® Blonde Caffè Latte,20,300,140,15,9,0,45,200,24,0,23,15,170,Venti,Whole Milk,
espresso,Starbucks® Blonde Caffè Latte,20,250,80,9,6,0,40,220,24,0,23,16,170,Venti,2% Milk,
espresso,Starbucks® Blonde Caffè Latte,20,240,60,7,1,0,0,170,30,2,23,13,170,Venti,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,100,30,3.5,0.5,0,0,85,17,1,14,2,85,Short,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,120,35,4,3.5,0,0,90,19,0,16,1,85,Short,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,110,10,1,0.5,0,5,85,21,0,19,6,85,Short,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,160,50,6,3.5,0,20,90,20,0,19,5,85,Short,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,140,35,4,2.5,0,15,95,20,0,19,6,85,Short,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,8,140,30,3,1,0,0,80,23,1,19,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,150,45,5,1,0,5,140,25,1,21,3,85,Tall,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,170,60,6,5,0,5,150,28,0,24,2,85,Tall,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,170,15,1.5,1,0,10,140,31,0,28,9,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,240,80,9,5,0,25,140,31,0,28,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,210,50,6,3.5,0,20,150,31,0,28,9,85,Tall,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,12,210,45,5,1,0,5,130,34,1,28,7,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,200,60,7,1.5,0,5,190,33,1,26,4,170,Grande,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,220,70,8,7,0,5,200,36,1,30,3,170,Grande,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,220,15,1.5,1,0,10,180,39,0,35,12,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,300,100,11,6,0,35,190,39,0,34,11,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,270,60,7,4.5,0,25,200,39,0,34,11,170,Grande,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,16,270,50,6,1.5,0,5,170,44,1,36,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,240,70,8,1.5,0,5,240,39,2,31,5,170,Venti,Almond,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,270,90,10,8,0,5,250,43,1,37,3,170,Venti,Coconut,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,270,15,1.5,1,0,10,240,49,0,44,15,170,Venti,Nonfat milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,380,130,14,8,0,45,240,48,0,43,15,170,Venti,Whole Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,330,80,9,6,0,35,260,48,0,43,15,170,Venti,2% Milk,
espresso,Starbucks® Blonde Caramel Cloud Macchiato,20,330,70,7,1.5,0,5,220,53,2,44,13,170,Venti,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,110,30,3.5,1,0,0,120,18,1,15,2,85,Short,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,120,35,4,3.5,0,0,125,20,0,17,1,85,Short,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,120,10,1,0.5,0,5,120,22,0,20,6,85,Short,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,160,50,6,3.5,0,20,120,22,0,19,6,85,Short,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,140,35,4,2.5,0,15,125,22,0,19,6,85,Short,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,8,140,30,3,1,0,0,110,24,1,20,5,85,Short,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,160,50,5,1,0,5,170,27,1,22,3,85,Tall,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,180,60,6,5,0,5,180,29,1,25,2,85,Tall,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,180,15,1.5,1,0,10,170,32,0,29,9,85,Tall,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,240,80,9,5,0,25,180,32,0,29,9,85,Tall,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,220,50,6,4,0,20,190,32,0,29,9,85,Tall,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,12,220,45,5,1.5,0,5,160,35,1,29,8,85,Tall,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,200,60,7,1.5,0,5,220,34,2,27,4,170,Grande,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,230,70,8,7,0,5,230,37,1,31,3,170,Grande,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,230,15,1.5,1,0,10,220,42,0,37,12,170,Grande,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,310,100,11,7,0,35,220,41,0,36,12,170,Grande,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,280,70,8,5,0,30,240,41,0,36,12,170,Grande,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,16,280,60,6,1.5,0,5,200,45,1,37,10,170,Grande,Soy (United States),
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,250,70,8,1.5,0,5,270,41,2,33,5,170,Venti,Almond,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,280,90,10,8,0,5,290,45,1,38,3,170,Venti,Coconut,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,280,15,2,1,0,10,270,50,0,45,16,170,Venti,Nonfat milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,390,130,14,8,0,45,280,50,0,44,15,170,Venti,Whole Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,340,80,9,6,0,35,290,50,0,44,15,170,Venti,2% Milk,
espresso,Starbucks® Blonde Cocoa Cloud Macchiato,20,340,70,8,1.5,0,5,250,55,2,45,13,170,Venti,Soy (United States),
espresso,Starbucks® Blonde Doubleshot® On Ice,12,45,10,1,0,0,0,35,8,0,6,1,170,Tall,Almond,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,25,10,1,0,0,0,35,3,0,1,1,170,Tall,Almond,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,50,10,1.5,1.5,0,0,30,9,0,7,1,170,Tall,Coconut,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,30,10,1.5,1.5,0,0,30,4,0,2,1,170,Tall,Coconut,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,50,0,0,0,0,0,35,10,0,8,3,170,Tall,Nonfat milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,30,0,0,0,0,0,35,5,0,3,3,170,Tall,Nonfat milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,70,20,2,1,0,5,35,9,0,8,2,170,Tall,Whole Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,45,20,2,1,0,5,35,4,0,3,2,170,Tall,Whole Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,60,10,1,1,0,5,35,9,0,8,3,170,Tall,2% Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,60,10,1,1,0,5,35,9,0,8,3,170,Tall,2% Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,60,10,1,0,0,0,30,10,0,8,2,170,Tall,Soy (United States),Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,12,40,10,1,0,0,0,30,5,0,3,2,170,Tall,Soy (United States),Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,70,10,1,0,0,0,35,13,0,11,1,255,Grande,Almond,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,30,10,1,0,0,0,35,3,0,1,1,255,Grande,Almond,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,70,10,1.5,1.5,0,0,35,14,0,12,1,255,Grande,Coconut,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,35,10,1.5,1.5,0,0,35,4,0,2,1,255,Grande,Coconut,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,70,0,0,0,0,0,35,15,0,13,3,255,Grande,Nonfat milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,35,0,0,0,0,0,35,5,0,3,3,255,Grande,Nonfat milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,90,20,2,1,0,5,35,15,0,13,3,255,Grande,Whole Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,50,20,2,1,0,5,35,5,0,3,3,255,Grande,Whole Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,80,10,1,1,0,5,40,15,0,13,3,255,Grande,2% Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,80,10,1,1,0,5,40,15,0,13,3,255,Grande,2% Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,80,10,1,0,0,0,35,16,0,13,3,255,Grande,Soy (United States),Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,16,45,10,1,0,0,0,35,6,0,3,3,255,Grande,Soy (United States),Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,120,15,1.5,0,0,0,50,25,0,21,2,425,Venti Iced,Almond,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,45,15,1.5,0,0,0,55,6,0,1,2,425,Venti Iced,Almond,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,130,20,2,2,0,0,50,27,0,23,2,425,Venti Iced,Coconut,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,50,20,2,2,0,0,50,7,0,3,2,425,Venti Iced,Coconut,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,130,0,0,0,0,0,50,28,0,24,4,425,Venti Iced,Nonfat milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,50,0,0,0,0,0,50,8,0,5,4,425,Venti Iced,Nonfat milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,160,25,3,1.5,0,10,50,28,0,24,4,425,Venti Iced,Whole Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,80,25,3,1.5,0,10,55,8,0,4,4,425,Venti Iced,Whole Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,150,15,2,1,0,5,55,28,0,24,4,425,Venti Iced,2% Milk,Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,150,15,2,1,0,5,55,28,0,24,4,425,Venti Iced,2% Milk,Unsweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,150,15,1.5,0,0,0,45,29,0,24,4,425,Venti Iced,Soy (United States),Sweetened
espresso,Starbucks® Blonde Doubleshot® On Ice,24,70,15,1.5,0,0,0,50,10,0,5,4,425,Venti Iced,Soy (United States),Unsweetened
espresso,Starbucks® Blonde Flat White,8,50,25,3,0,0,0,75,5,1,2,1,150,Short,Almond,
espresso,Starbucks® Blonde Flat White,8,60,35,4,3.5,0,0,70,7,0,5,1,150,Short,Coconut,
espresso,Starbucks® Blonde Flat White,8,60,0,0,0,0,5,70,9,0,8,6,150,Short,Nonfat milk,
espresso,Starbucks® Blonde Flat White,8,110,50,5,3,0,15,70,9,0,8,6,150,Short,Whole Milk,
espresso,Starbucks® Blonde Flat White,8,90,30,3.5,2,0,15,80,9,0,8,6,150,Short,2% Milk,
espresso,Starbucks® Blonde Flat White,8,90,25,2.5,0,0,0,65,12,1,9,5,150,Short,Soy (United States),
espresso,Starbucks® Blonde Flat White,12,70,40,4.5,0,0,0,120,7,1,4,2,150,Tall,Almond,
espresso,Starbucks® Blonde Flat White,12,100,60,6,6,0,0,110,11,0,9,1,150,Tall,Coconut,
espresso,Starbucks® Blonde Flat White,12,100,0,0,0,0,5,115,15,0,13,10,150,Tall,Nonfat milk,
espresso,Starbucks® Blonde Flat White,12,170,80,9,5,0,25,115,14,0,13,9,150,Tall,Whole Milk,
espresso,Starbucks® Blonde Flat White,12,140,50,5,3.5,0,20,130,14,0,13,9,150,Tall,2% Milk,
espresso,Starbucks® Blonde Flat White,12,140,40,4,0.5,0,0,100,18,1,14,8,150,Tall,Soy (United States),
espresso,Starbucks® Blonde Flat White,16,100,50,6,0,0,0,160,9,2,5,3,225,Grande,Almond,
espresso,Starbucks® Blonde Flat White,16,130,70,8,7,0,0,140,14,0,11,1,225,Grande,Coconut,
espresso,Starbucks® Blonde Flat White,16,130,5,0,0,0,5,150,19,0,17,12,225,Grande,Nonfat milk,
espresso,Starbucks® Blonde Flat White,16,220,100,11,7,0,35,150,18,0,17,12,225,Grande,Whole Milk,
espresso,Starbucks® Blonde Flat White,16,180,60,7,4.5,0,30,160,18,0,17,12,225,Grande,2% Milk,
espresso,Starbucks® Blonde Flat White,16,190,50,5,0.5,0,0,130,24,1,18,10,225,Grande,Soy (United States),
espresso,Starbucks® Blonde Flat White,20,120,70,8,0.5,0,0,210,11,2,7,4,225,Venti,Almond,
espresso,Starbucks® Blonde Flat White,20,170,90,10,10,0,0,190,18,0,15,2,225,Venti,Coconut,
espresso,Starbucks® Blonde Flat White,20,170,5,0,0,0,10,190,24,0,23,16,225,Venti,Nonfat milk,
espresso,Starbucks® Blonde Flat White,20,290,130,15,9,0,45,200,24,0,22,15,225,Venti,Whole Milk,
espresso,Starbucks® Blonde Flat White,20,240,80,9,6,0,35,220,24,0,22,16,225,Venti,2% Milk,
espresso,Starbucks® Blonde Flat White,20,240,60,7,1,0,0,170,30,2,23,13,225,Venti,Soy (United States),
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,120,25,3,0,0,0,110,21,1,19,3,85,Tall,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,200,100,11,5,0,25,120,24,1,22,3,85,Tall,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,130,35,3.5,3,0,0,115,23,0,22,2,85,Tall,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,210,100,11,8,0,25,125,26,0,24,3,85,Tall,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,130,0,0,0,0,5,115,26,0,25,7,85,Tall,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,210,70,8,5,0,30,120,28,0,27,8,85,Tall,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,180,50,6,3,0,20,115,25,0,24,7,85,Tall,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,260,120,13,8,0,40,125,28,0,27,8,85,Tall,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,160,30,3.5,2,0,15,125,25,0,24,7,85,Tall,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,240,100,11,7,0,40,130,28,0,27,8,85,Tall,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,160,25,3,0,0,0,110,28,1,25,6,85,Tall,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,12,240,100,11,5,0,25,115,31,1,27,7,85,Tall,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,170,35,3.5,0,0,0,150,31,1,28,4,170,Grande,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,280,130,15,7,0,35,160,35,1,32,5,170,Grande,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,190,40,4.5,4,0,0,160,34,0,31,3,170,Grande,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,300,140,15,11,0,35,170,37,0,34,4,170,Grande,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,190,5,0,0,0,5,150,37,0,35,10,170,Grande,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,300,100,11,7,0,40,160,40,0,38,11,170,Grande,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,250,60,7,4,0,25,160,37,0,35,9,170,Grande,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,360,160,18,11,0.5,55,160,40,0,38,10,170,Grande,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,220,40,4.5,2.5,0,20,170,37,0,35,10,170,Grande,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,330,140,15,10,0.5,50,170,40,0,38,10,170,Grande,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,230,30,3.5,0,0,0,150,40,1,36,9,170,Grande,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,16,340,130,14,7,0,35,150,43,1,39,9,170,Grande,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,260,45,5,0.5,0,0,220,51,1,46,6,255,Venti Iced,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,370,140,16,7,0,35,230,54,1,49,7,255,Venti Iced,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,290,60,6,5,0,0,230,54,1,50,5,255,Venti Iced,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,400,150,17,12,0,35,240,57,1,53,6,255,Venti Iced,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,290,5,0,0,0,10,230,58,0,55,14,255,Venti Iced,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,400,100,11,7,0,40,240,61,0,59,15,255,Venti Iced,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,370,90,10,6,0,30,230,58,0,55,13,255,Venti Iced,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,480,190,21,13,0.5,65,240,61,0,58,14,255,Venti Iced,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,340,50,6,4,0,25,240,58,0,55,14,255,Venti Iced,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,450,150,17,11,0.5,60,250,61,0,58,15,255,Venti Iced,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,340,45,5,0.5,0,0,220,62,1,56,12,255,Venti Iced,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Pumpkin Spice Latte,24,450,140,16,8,0,35,230,66,1,59,13,255,Venti Iced,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,150,30,3.5,1,0,0,130,27,3,22,3,100,Tall,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,250,110,12,6,0,25,200,33,3,28,3,100,Tall,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,160,40,4,3.5,0,0,135,28,2,24,2,100,Tall,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,260,120,13,9,0,25,200,35,2,30,3,100,Tall,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,160,10,1.5,1,0,5,135,30,2,27,6,100,Tall,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,260,90,10,6,0,30,200,37,2,33,7,100,Tall,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,200,50,6,3.5,0,15,135,30,2,26,6,100,Tall,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,300,130,15,9,0,40,200,37,2,32,7,100,Tall,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,180,35,4,2.5,0,10,140,30,2,26,6,100,Tall,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,290,110,13,8,0,40,210,37,2,32,7,100,Tall,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,190,30,3.5,1,0,0,125,33,3,27,6,100,Tall,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,12,290,110,12,7,0,25,190,39,3,33,6,100,Tall,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,210,40,4.5,1.5,0,0,180,40,4,32,4,190,Grande,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,360,150,17,9,0,40,270,49,4,41,5,190,Grande,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,230,50,5,4.5,0,0,180,41,3,34,3,190,Grande,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,370,160,18,12,0,40,270,51,3,43,4,190,Grande,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,230,15,2,1,0,5,180,44,3,38,9,190,Grande,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,380,130,14,9,0,40,270,53,3,46,9,190,Grande,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,280,70,7,4.5,0,20,180,44,3,38,8,190,Grande,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,420,180,20,12,0.5,55,270,53,3,46,9,190,Grande,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,260,45,5,3.5,0,15,190,44,3,38,8,190,Grande,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,400,160,17,11,0.5,50,280,53,3,46,9,190,Grande,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,260,40,4.5,1.5,0,0,170,47,4,38,8,190,Grande,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,16,410,150,17,9,0,40,260,56,4,47,8,190,Grande,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,330,60,7,2,0,0,270,64,6,53,6,290,Venti Iced,Almond,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,480,170,19,10,0,40,360,74,6,61,7,290,Venti Iced,Almond,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,360,70,8,6,0,0,280,66,5,55,5,290,Venti Iced,Coconut,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,500,180,20,14,0,40,370,76,5,64,6,290,Venti Iced,Coconut,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,360,30,3,2,0,5,270,70,5,60,12,290,Venti Iced,Nonfat milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,510,140,15,10,0,45,360,79,5,69,13,290,Venti Iced,Nonfat milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,420,90,10,6,0,25,280,70,5,59,11,290,Venti Iced,Whole Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,570,200,23,14,0.5,60,360,79,5,68,12,290,Venti Iced,Whole Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,390,70,7,4.5,0,20,280,70,5,59,12,290,Venti Iced,2% Milk,No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,540,180,20,12,0.5,55,370,79,5,68,13,290,Venti Iced,2% Milk,Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,400,60,7,2.5,0,0,260,73,6,60,11,290,Venti Iced,Soy (United States),No Whipped Cream
espresso,Starbucks® Blonde Iced Salted Caramel Mocha,24,550,170,19,10,0,40,350,83,6,69,12,290,Venti Iced,Soy (United States),Whipped Cream
espresso,Starbucks® Blonde Pumpkin Spice Latte,8,80,25,3,0,0,0,90,13,1,11,2,85,Short,Almond,No Whipped Cream
espresso,Starbucks® Blonde Pumpkin Spice Latte,8,130,70,8,3.5,0,15,95,15,1,13,2,85,Short,Almond,Whipped Cream
